price,odometer,cylinders,condition,type,price_per_mile
850,187000.0,6,good,sedan,0.004545454545454545
2295,107000.0,4,excellent,sedan,0.021448598130841122
4200,120451.0,6,excellent,sedan,0.03486895085968568
7200,113300.0,4,excellent,sedan,0.06354810238305383
8895,110.0,4,like new,sedan,80.86363636363636
8950,110.0,4,like new,sedan,81.36363636363636
3750,173906.0,4,good,sedan,0.021563373316619325
6300,156000.0,4,excellent,sedan,0.04038461538461539
8499,105.0,4,excellent,sedan,80.94285714285714
2500,185000.0,4,good,coupe,0.013513513513513514
1850,158800.0,6,excellent,sedan,0.011649874055415618
1850,158800.0,6,good,sedan,0.011649874055415618
6500,109000.0,4,excellent,sedan,0.05963302752293578
3950,158000.0,4,good,sedan,0.025
1400,167000.0,6,excellent,sedan,0.008383233532934131
1400,167000.0,6,excellent,sedan,0.008383233532934131
2400,166457.0,4,excellent,sedan,0.014418138017626174
5999,132572.0,4,like new,sedan,0.0452508825392994
9300,90653.0,6,excellent,sedan,0.10258899319382701
4400,105000.0,4,excellent,sedan,0.0419047619047619
3600,168000.0,6,good,coupe,0.02142857142857143
9995,105000.0,4,excellent,sedan,0.09519047619047619
4200,120451.0,6,excellent,sedan,0.03486895085968568
6300,156000.0,4,excellent,sedan,0.04038461538461539
8499,105.0,4,excellent,sedan,80.94285714285714
8895,110.0,4,like new,sedan,80.86363636363636
2200,146000.0,4,good,sedan,0.015068493150684932
6500,109000.0,4,excellent,sedan,0.05963302752293578
4400,105000.0,4,excellent,sedan,0.0419047619047619
2400,166457.0,4,excellent,sedan,0.014418138017626174
3950,158000.0,4,good,sedan,0.025
3550,173906.0,4,good,sedan,0.020413326739732958
3600,168000.0,6,good,coupe,0.02142857142857143
9300,90653.0,6,excellent,sedan,0.10258899319382701
1400,167000.0,6,excellent,sedan,0.008383233532934131
3200,175000.0,6,good,sedan,0.018285714285714287
5999,132572.0,4,like new,sedan,0.0452508825392994
7200,113300.0,4,excellent,sedan,0.06354810238305383
850,187000.0,6,good,sedan,0.004545454545454545
8950,110.0,4,like new,sedan,81.36363636363636
4400,105000.0,4,excellent,sedan,0.0419047619047619
2500,228000.0,6,fair,sedan,0.010964912280701754
3600,168000.0,6,good,coupe,0.02142857142857143
7200,113300.0,4,excellent,sedan,0.06354810238305383
3700,158000.0,4,good,sedan,0.02341772151898734
2400,166457.0,4,excellent,sedan,0.014418138017626174
8499,105.0,4,excellent,sedan,80.94285714285714
6300,156000.0,4,excellent,sedan,0.04038461538461539
4950,140000.0,6,excellent,convertible,0.03535714285714286
6995,124000.0,4,good,sedan,0.056411290322580646
6000,121000.0,4,good,sedan,0.049586776859504134
4900,155386.0,6,excellent,convertible,0.03153437246598793
6490,115515.0,4,excellent,sedan,0.05618317967363546
9300,90653.0,6,excellent,sedan,0.10258899319382701
6000,109000.0,4,excellent,sedan,0.05504587155963303
3500,173906.0,4,good,sedan,0.020125815095511368
1999,230000.0,4,fair,sedan,0.008691304347826088
5999,132572.0,4,like new,sedan,0.0452508825392994
3300,127000.0,4,like new,sedan,0.025984251968503937
2499,115000.0,4,good,sedan,0.021730434782608696
3900,169435.0,4,excellent,sedan,0.02301767639507776
5495,148987.0,4,excellent,sedan,0.03688241255948506
6700,131000.0,4,excellent,sedan,0.05114503816793893
3950,182300.0,4,excellent,sedan,0.021667580910586945
6300,100000.0,4,excellent,sedan,0.063
6000,121000.0,4,good,sedan,0.049586776859504134
8800,64339.0,4,like new,sedan,0.13677551718242434
3995,165.0,6,excellent,sedan,24.21212121212121
